,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
151,0,1,0,0,0,0,1,0,0,0,1,0,1,0,191.25999999999829
152,0,1,0,0,0,0,1,0,0,0,1,0,1,0,191.45999999999827
153,0,1,0,0,0,0,1,0,0,0,1,0,1,0,191.65999999999826
154,0,0,0,0,0,0,1,0,0,0,1,0,0,0,191.85999999999825
155,0,0,0,0,0,0,1,0,0,0,1,0,0,0,192.05999999999824
156,0,0,0,0,0,0,1,0,0,0,1,0,0,0,192.25999999999823
157,0,0,0,0,0,0,1,0,0,0,1,0,0,0,192.45999999999822
158,0,1,0,0,0,0,1,0,0,0,0,0,0,0,192.6599999999982
159,0,1,0,0,0,0,1,0,0,0,0,0,0,0,192.8599999999982
160,0,1,0,0,0,0,1,0,0,0,0,0,0,0,193.05999999999818
161,0,1,0,0,0,0,1,0,0,0,0,0,0,0,193.25999999999817
162,0,1,0,0,0,0,1,0,0,1,1,0,1,0,193.45999999999816
163,0,1,0,0,0,0,1,0,0,1,1,0,1,0,193.65999999999815
164,0,1,0,0,0,0,1,0,0,1,1,0,1,0,193.85999999999814
165,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.05999999999813
166,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.25999999999812
167,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.4599999999981
168,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.6599999999981
169,0,1,0,0,0,0,1,0,0,1,1,0,1,0,194.85999999999808
170,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.05999999999807
171,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.25999999999806
172,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.45999999999805
173,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.65999999999804
174,0,1,0,0,0,0,1,0,0,1,1,0,1,0,195.85999999999802
175,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.059999999998
176,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.259999999998
177,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.459999999998
178,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.65999999999798
179,0,1,0,0,0,0,1,0,0,1,1,0,1,0,196.85999999999797
180,0,1,0,1,1,0,1,0,0,1,1,0,1,0,197.05999999999796
181,0,1,0,1,1,0,1,0,0,1,1,0,1,0,197.25999999999794
182,0,1,0,1,1,0,1,0,0,1,1,0,1,0,197.45999999999793
183,0,1,0,1,1,0,1,0,0,0,0,0,1,0,197.65999999999792
184,0,1,0,1,1,0,1,0,0,0,0,0,1,0,197.8599999999979
185,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.0599999999979
186,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.2599999999979
187,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.45999999999788
188,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.65999999999786
189,0,1,0,1,1,0,1,0,0,0,1,0,1,0,198.85999999999785
190,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.05999999999784
191,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.25999999999783
192,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.45999999999782
193,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.6599999999978
194,0,1,0,0,0,0,1,0,0,0,1,0,1,0,199.8599999999978
195,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.05999999999779
196,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.25999999999777
197,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.45999999999776
198,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.65999999999775
199,0,1,0,0,0,0,1,0,0,0,1,0,1,0,200.85999999999774
200,0,1,0,0,0,0,1,0,0,0,1,0,1,0,201.05999999999773
201,0,1,0,0,0,0,1,0,0,0,1,0,1,0,201.25999999999772
202,0,1,0,0,0,0,1,0,0,0,1,0,1,0,201.4599999999977
203,0,1,0,1,0,0,1,0,0,0,1,0,1,0,201.6599999999977
204,0,1,0,1,0,0,1,0,0,0,1,0,1,0,201.85999999999768
205,0,1,0,1,0,0,1,0,0,0,0,0,0,0,202.05999999999767
206,0,1,0,1,0,0,1,0,0,0,0,0,0,0,202.25999999999766
207,0,1,0,1,0,0,1,0,0,0,0,0,0,1,202.45999999999765
208,0,1,0,1,0,0,1,0,0,0,0,0,0,1,202.65999999999764
209,0,1,0,0,0,0,1,0,0,0,0,0,0,1,202.85999999999763
210,0,1,0,0,0,0,1,0,0,0,0,0,0,1,203.05999999999761
