,feature,total time,count,normalized total time,normalized count,order,condition,participant,coder
163,Parent gaze:robot,117.92,60,0.4309311504166058,0.21926618915363252,1,r,103,SK
164,Parent gesture:other,8.280000000000001,7,0.030258734103201294,0.025581055401257127,1,r,103,SK
165,Parent gesture:point at prop,20.92,20,0.07645081128489987,0.07308872971787751,1,r,103,SK
166,Parent prop manipulation:parent,14.919999999999998,4,0.054524192369536616,0.014617745943575502,1,r,103,SK
167,Parent utterance:missing data,3.76,3,0.01374068118696097,0.010963309457681626,1,r,103,SK
168,Parent utterance:other vocalization,0.24,1,0.00087706475661453,0.0036544364858938755,1,r,103,SK
169,Parent utterance:utterance,122.24,60,0.4467183160356673,0.21926618915363252,1,r,103,SK
170,Verbal scaffolding:affective,18.28,10,0.06680309896214004,0.036544364858938756,1,r,103,SK
171,Verbal scaffolding:cognitive,54.96,17,0.20084782926472738,0.06212542026019588,1,r,103,SK
172,robot pointing:point at prop,33.946,14,0.12405350095015348,0.05116211080251425,1,r,103,SK
173,robot text:correction,4.111,2,0.01502338839350972,0.007308872971787751,1,r,103,SK
174,robot text:other,7.317,5,0.026739511767285486,0.018272182429469378,1,r,103,SK
175,robot text:pick up,25.001,11,0.09136456658383278,0.04019880134483263,1,r,103,SK
176,robot text:positive feedback,26.447,11,0.09664888174243531,0.04019880134483263,1,r,103,SK
177,robot text:put down,15.611999999999998,7,0.05705306241777518,0.025581055401257127,1,r,103,SK
178,robot text:song,67.258,1,0.24579008916825026,0.0036544364858938755,1,r,103,SK
179,robot text:teach,24.058,10,0.08791843297763485,0.036544364858938756,1,r,103,SK
180,robot text:try again,7.666,4,0.02801491010086245,0.014617745943575502,1,r,103,SK
