,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
59,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,77.1
60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,77.6
61,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,78.1
62,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,78.6
63,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,79.1
64,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,79.6
65,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,80.1
66,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,80.6
67,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,81.1
68,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,81.6
69,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,82.1
70,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,82.6
71,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,83.1
72,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,83.6
73,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,84.1
74,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,84.6
75,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,85.1
76,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,85.6
77,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,86.1
78,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,86.6
79,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,87.1
80,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,87.6
81,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,88.1
