,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 3,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:song,robot text:other,robot text:teach,robot text:put down,robot text:pick up,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:teach,"[5, 0.006051212300990968]","[5, 0.033557525910242754]","[5, 0.9504335700597204]","[1, 1.0]","[100, 100]","[2, 0.001131342675336694]","[1, 1.0]","[1, 0.015788400586659663]","[1, 0.004072701853859647]","[3, 4.990905492196725e-09]","[1, 1.0]","[3, 0.0337299014658775]","[2, 0.38242160385151164]","[1, 1.0]","[3, 0.08460356189693911]","[5, 0.02992010833598283]","[5, 0.09143007797761238]","[2, 0.9324998653181495]","[1, 1.0]","[1, 0.004567565108388751]","[2, 0.9914804183292539]","[1, 1.0]","[4, 0.6938684754663902]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.9872383250455833]","[2, 0.8649551291285055]","[1, 1.0]","[4, 0.002708718437724396]","[1, 1.0]","[2, 0.9814523781493965]","[1, 1.0]","[1, 1.0]","[5, 0.46354203121236237]","[5, 0.19713060645546768]","[1, 1.0]"
robot text:put down,"[1, 1.0]","[5, 0.27411635820648317]","[5, 0.25857815779158044]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.023963607304751444]","[1, 0.007237460601047788]","[1, 1.0]","[1, 1.0]","[5, 0.6004158196844285]","[1, 0.19643855284958195]","[1, 1.0]","[1, 0.31403896621641714]","[1, 0.09414060745425665]","[2, 0.49694356530027994]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.22700491330700567]","[1, 1.0]","[1, 0.16319723055827962]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 2.4889067228618185e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.19603379809936464]","[1, 0.3030507849129752]","[1, 1.0]"
robot text:pick up,"[1, 1.0]","[2, 0.035647692867461056]","[2, 0.03490659031011955]","[1, 1.0]","[100, 100]","[3, 0.03523598418632422]","[1, 1.0]","[1, 0.08257498376820308]","[1, 0.12179699562138988]","[1, 1.0]","[1, 1.0]","[1, 0.03055442344277813]","[4, 0.1534294940912391]","[1, 1.0]","[4, 0.4240677312090386]","[1, 1.0]","[5, 0.3356801144631495]","[1, 1.0]","[3, 0.0028906396848597136]","[5, 0.09549071660321058]","[4, 0.2107284197253599]","[5, 0.002019438637811247]","[1, 1.0]","[1, 1.0]","[1, 6.430570578040622e-05]","[1, 1.0]","[100, 100]","[1, 1.2449095815915506e-07]","[5, 0.3228641183544503]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 7.435981929043946e-05]","[1, 1.0]","[2, 1.115703833681358e-06]","[1, 1.0]","[1, 1.0]","[2, 0.23043060631966597]","[1, 1.0]"
robot text:try again,"[1, 1.0]","[2, 0.1426300635887232]","[1, 0.046855216248904194]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.11069091935360378]","[1, 1.0]","[1, 1.0]","[5, 1.3232144595252829e-14]","[5, 0.011740662819691267]","[1, 1.0]","[1, 1.0]","[4, 0.0005227238146971171]","[1, 1.0]","[2, 1.1166004492588343e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.234818924358172e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.2132228403183478]","[2, 0.012094315104631102]","[1, 1.0]"
robot text:positive feedback,"[1, 1.0]","[4, 0.258987791688942]","[4, 0.15168237819014058]","[1, 0.0007771734589646198]","[100, 100]","[4, 0.273741319346566]","[3, 0.02422296859886086]","[1, 0.178972096020048]","[5, 0.9194476476129804]","[1, 1.0]","[1, 1.0]","[5, 0.0027590758019189043]","[3, 0.7219852443915082]","[1, 1.0]","[5, 0.11119633836069373]","[2, 0.32592782785633034]","[1, 0.0014403687959426772]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.7617201230259729]","[2, 0.003345894512547288]","[5, 0.9064761907227255]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.2780131300459334]","[4, 0.09075315821844986]","[1, 1.0]","[4, 0.06737342974463577]","[1, 0.3570464782831254]","[1, 1.6609813566777e-14]"
Conversational turns:PC,"[5, 4.816462684831546e-06]","[1, 0.23943461508752137]","[5, 0.5559541774400533]","[4, 3.7584817491698275e-05]","[100, 100]","[5, 8.010267286225754e-10]","[4, 0.9999999999999063]","[5, 0.30729291936706427]","[4, 0.01033432844606876]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.2507626280751848]","[1, 1.0]","[1, 0.13246251983610532]","[1, 0.9982210635899033]","[1, 0.157788883968265]","[1, 0.9948640094977781]","[3, 0.026585959403496142]","[1, 1.0]","[4, 0.31897169796749125]","[3, 1.074110116019779e-05]","[4, 0.9999999999998324]","[1, 1.0]","[1, 1.0]","[4, 0.9999999979401482]","[100, 100]","[1, 1.0]","[3, 0.04802250415796611]","[2, 0.9991575330271488]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 7.324632215601317e-05]","[1, 0.12729520655629017]","[1, 0.11982623878457677]","[4, 0.624876544684823]","[1, 0.2811906088329128]","[1, 0.9911016718910484]"
Conversational turns:CP,"[4, 0.00039478002785744726]","[5, 0.3254661307121711]","[3, 0.6958930582065055]","[4, 0.9963362844718381]","[100, 100]","[1, 0.9980193709861271]","[1, 1.0]","[5, 0.713864632561484]","[5, 0.03692384867545248]","[4, 5.133255858603798e-11]","[1, 1.0]","[1, 1.0]","[4, 0.2511138064057462]","[1, 1.0]","[3, 0.11283331259359405]","[4, 0.3887965135993306]","[2, 0.3613909237387869]","[1, 0.9958449335677702]","[5, 0.18940015492088]","[1, 1.0]","[4, 0.31938791901688557]","[3, 0.00012537661946975502]","[5, 0.7226483448099692]","[1, 1.0]","[1, 0.03922035211999957]","[4, 0.999999998799521]","[100, 100]","[1, 0.0068656400736852525]","[1, 1.0]","[5, 0.12721546729483352]","[1, 1.0]","[1, 1.0]","[4, 0.020614517977801065]","[100, 100]","[4, 0.6563948716450763]","[4, 0.9907641747941629]","[1, 1.0]","[3, 0.3925565548314959]","[1, 0.9928011313346307]"
Conversational turns:PCP,"[4, 0.014808770302978457]","[3, 0.08555359505285122]","[5, 0.261037336200747]","[1, 0.995965354281653]","[100, 100]","[1, 0.997279968853897]","[4, 0.9999999999999939]","[4, 0.23802820227177696]","[4, 0.38208886386588997]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.4316762585731]","[1, 1.0]","[1, 0.9989139954933813]","[1, 0.9981957748560062]","[3, 0.9999999999967958]","[1, 0.9947909989968675]","[5, 0.0395458370491295]","[1, 1.0]","[4, 0.5023265797632797]","[3, 3.3897948284739416e-07]","[5, 0.48623205483814924]","[1, 1.0]","[1, 1.0]","[4, 0.999999997939715]","[100, 100]","[1, 1.0]","[3, 0.018101424932069007]","[2, 0.9999998898675204]","[1, 1.0]","[1, 1.0]","[4, 0.0002651244034674809]","[1, 0.9986903217925558]","[100, 100]","[1, 0.9947909989968675]","[3, 0.9999999999966909]","[5, 0.447845462122068]","[1, 0.9909751811407491]"
Conversational turns:CPC,"[4, 9.004817902776767e-08]","[4, 0.2668342087721495]","[4, 0.259481651279499]","[1, 0.9938354360495206]","[100, 100]","[1, 0.9958440321633169]","[1, 1.0]","[4, 0.5436839474505676]","[4, 0.04713223733245885]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.06056883601654641]","[1, 1.0]","[1, 0.9983406772918609]","[1, 0.9972432984689391]","[1, 1.0]","[1, 0.9920411600793971]","[3, 5.273951445312023e-06]","[1, 1.0]","[4, 0.09565313840505]","[3, 3.7358840999864247e-17]","[4, 0.999999999999891]","[1, 1.0]","[1, 1.0]","[4, 0.9999999887489395]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9983406773236179]","[4, 2.859934692456662e-07]","[1, 0.9947901109890244]","[100, 100]","[4, 0.1002919750933726]","[1, 1.0]","[1, 0.9862112269228147]"
Joint attention:robot,"[4, 0.3849354080509454]","[1, 0.013034535930180275]","[2, 0.19545235850091117]","[1, 1.0]","[100, 100]","[4, 0.06332694518384417]","[3, 0.026547930439236877]","[2, 0.36932399909276126]","[3, 0.888195861634554]","[4, 0.9422199293298129]","[1, 1.0]","[3, 0.4516381447437865]","[1, 0.14014874999943186]","[1, 1.0]","[3, 0.004240798389779563]","[1, 0.10054449837221768]","[1, 0.12033219665098077]","[4, 0.9722739505913034]","[1, 1.0]","[2, 0.35419233704561887]","[1, 0.16765122079763467]","[4, 0.9946998489049994]","[3, 0.8863018279020549]","[3, 0.011798452302678375]","[2, 0.620711455923766]","[1, 1.0]","[100, 100]","[2, 0.4413033225704279]","[2, 0.046835082604676136]","[3, 0.5862016184088807]","[5, 0.3001649323390827]","[5, 0.4944899405912745]","[4, 0.6052082449818138]","[1, 1.0]","[2, 0.19424098925854383]","[4, 0.08773964658916139]","[100, 100]","[4, 0.05613898623710789]","[1, 1.0]"
Joint attention:props,"[3, 0.014948434176446777]","[1, 6.036887275570577e-09]","[1, 0.20588982246505946]","[1, 0.00021071469172841668]","[100, 100]","[5, 0.00998470629606702]","[4, 0.007590611152484965]","[1, 0.439049910715535]","[1, 0.008638960181629757]","[2, 0.013960679385452611]","[5, 0.003364760573285696]","[3, 0.23837050534949997]","[1, 0.93843463986298]","[2, 0.05783031524736377]","[1, 0.02760241513376109]","[2, 0.03894135259620159]","[5, 0.02741395741587572]","[1, 1.0]","[5, 0.8417894233434262]","[1, 0.20604514770437957]","[1, 0.504010546391937]","[5, 0.6270815598057631]","[2, 0.007385264330773693]","[2, 0.9979244040583685]","[5, 0.1939476847920218]","[1, 1.0]","[100, 100]","[5, 0.022995520307688803]","[3, 0.12679061713018755]","[1, 0.20594300901742055]","[1, 0.039137884456250265]","[5, 0.11508231864395801]","[4, 0.04107179409212854]","[3, 0.39047015531254]","[2, 0.09432685302404939]","[1, 1.0]","[2, 0.0495554329027669]","[100, 100]","[1, 1.0]"
Mutual gaze:MG,"[1, 0.9933726397990441]","[1, 1.0]","[1, 0.9971642043355519]","[1, 1.0]","[100, 100]","[1, 0.9927952697731446]","[3, 0.9999998025901948]","[3, 0.0004621558728775172]","[1, 0.996173750334908]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9971233990426812]","[1, 0.9952209952455944]","[1, 1.0]","[1, 0.9862029932796719]","[2, 0.9999654106622619]","[1, 1.0]","[1, 1.0]","[5, 4.731642628412388e-58]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9999998976618566]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9999763339976547]","[1, 0.9920348230068994]","[1, 0.9927952697731446]","[1, 0.990968252585392]","[1, 0.9862029932796719]","[1, 1.0]","[1, 1.0]","[100, 100]"
