,Child utterance,Child gaze,Child affect,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
239,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,65.03999999999982
240,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,65.23999999999982
241,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,65.43999999999983
242,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,65.63999999999983
243,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,65.83999999999982
244,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,66.03999999999982
245,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,66.23999999999982
246,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,66.43999999999983
247,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,66.63999999999982
248,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,66.83999999999982
249,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,67.03999999999982
250,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,67.23999999999982
251,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,67.43999999999981
252,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,67.63999999999982
253,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,67.83999999999982
254,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,68.03999999999982
255,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,68.23999999999981
256,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,68.43999999999981
257,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,68.63999999999982
258,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,68.83999999999982
259,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,69.03999999999981
260,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,69.23999999999981
261,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,69.43999999999981
262,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,69.63999999999982
263,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,69.8399999999998
264,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,70.03999999999981
265,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,70.23999999999981
266,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,70.43999999999981
267,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,70.6399999999998
268,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,70.8399999999998
269,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,71.03999999999981
270,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,71.23999999999981
271,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,71.4399999999998
