,granger_Non-verbal scaffolding:affective_robot text:positive feedback,granger_Verbal scaffolding:affective_robot text:positive feedback,granger_Parent affective touch:affective touch_robot text:positive feedback,granger_Parent affect_robot text:positive feedback,granger_Child affect_robot text:positive feedback,granger_Mutual gaze:MG_robot text:pick up,granger_Child gaze:object_robot text:pick up,granger_Parent gaze:object_robot text:pick up,granger_Parent utterance:utterance_robot text:pick up,granger_Child utterance:utterance_robot text:pick up,granger_Conversational turns_robot text:pick up,granger_Non-verbal scaffolding:cognitive_robot text:pick up,granger_Verbal scaffolding:cognitive_robot text:pick up,granger_Parent prop manipulation:parent_robot text:pick up,granger_Child prop manipulation:child_robot text:pick up,Child affect_normalized total time,Conversational turns_normalized count,Parent affect_normalized total time,Child affective touch:affective touch_normalized count,Child gaze:parent_normalized total time,Child utterance:utterance_normalized count,Non-verbal scaffolding:cognitive_normalized count,Parent affective touch:affective touch_normalized count,Parent gaze:child_normalized total time,Parent utterance:utterance_normalized count,Verbal scaffolding:affective_normalized count,Verbal scaffolding:cognitive_normalized count,Non-verbal scaffolding:affective_normalized count,Non-verbal scaffolding:technical_normalized count,Verbal scaffolding:technical_normalized count,Child gaze:object_normalized total time,Parent gaze:object_normalized total time,condition,participant,order,child gender,child age,Nars_ss1,Nars_ss2,Nars_ss3
20,25.439593826797573,19.381202329395425,1.2683044395121325e-13,28.770334403160184,6.673159050656813,30.4787697910654,11.973392004860486,15.461712291448327,19.98160393101292,15.514084095871915,0.0,38.94249584295347,38.3657095382432,0.72975876561678,15.250615115266305,0.0883783861588508,0.7124967613783574,0.33969542562685323,0.0,0.09233670149984166,0.19071883006592394,0.07556783832800759,0.007196936983619771,0.3119152488700809,0.23749892045945245,0.028787747934479083,0.15473414514782508,0.014393873967239542,0.014393873967239542,0.0,0.6487318997034861,0.5913003425742004,r,110,2,2,1004,3.833333333,2.6,2.666666667
21,5.532405905500897,19.801701853387275,9.230101067079802,30.661683643082437,6.878667719229438,22.61457767414351,14.975776089044674,9.23092246190806,14.011204722987438,12.000301380147038,7.774862794739876,8.301696956349444,30.328541242398472,3.4090013170835807,10.218748098397297,0.44751270393153253,0.32094142818935545,0.29927788178657394,0.0,0.04292591602032629,0.09360791655522867,0.04346081840064188,0.023401979138807167,0.3028884728537042,0.2607649104038513,0.020058839261834716,0.08357849692431131,0.023401979138807167,0.02674511901577962,0.006686279753944905,0.838459481144691,0.6005616474993314,r,114,2,2,1369,3.0,3.6,3.0
22,9.618875168938688,40.05190951613806,39.81122719302629,14.7708861966945,20.732275475991376,12.441874947269248,10.237298862562001,10.693660267064038,6.436137054047697,5.175355293460727,5.962769968090198,9.626044979773845,14.042101745497725,6.91573720882786,9.332261896711046,0.30578734858681017,0.7335127860026917,0.30154777927321663,0.0,0.03337819650067294,0.21534320323014802,0.04710632570659488,0.003364737550471063,0.14104979811574694,0.2792732166890982,0.020188425302826378,0.053835800807537006,0.02355316285329744,0.016823687752355314,0.013458950201884251,0.66742934051144,0.5967698519515476,r,116,2,2,740,3.5,1.6,2.333333333
23,0.0,71.46748026421626,0.0,7.729610681225807,12.273147759458016,7.901749072636964,7.5435846768873915,2.8533230755777432,17.16536480162229,10.839123791815187,12.212907887943047,3.6873612103062254,25.508422934959576,0.0,16.492459425769766,0.4928523714094857,0.19372077488309955,0.1044756179024716,0.0,0.20033400133600537,0.07682030728122913,0.0033400133600534404,0.0,0.3257181028724115,0.13360053440213762,0.016700066800267203,0.03674014696058785,0.0,0.0,0.0033400133600534404,0.7413493653974617,0.4718770875083501,r,118,2,1,1213,2.5,1.2,1.666666667
24,0.0,0.0,0.0,27.188832794948862,7.283221611513431,0.0,8.627956838812029,22.24321233146973,31.506601985928363,17.31081582885408,12.274615997888253,26.971271333005813,29.014277101817076,31.124225899755327,14.35096137854786,0.11147540983606556,0.30110404817664765,0.005620608899297423,0.0,0.01057209769153563,0.11040481766477081,0.013382402141184342,0.0,0.14386082301773168,0.12378721980595515,0.0033456005352960855,0.040147206423553024,0.0,0.0,0.0,0.6591502174640347,0.763198394111743,t,101,3,1,1303,3.833333333,3.4,4.333333333
25,0.0,33.333013370182215,20.55400277586545,8.246708970972358,9.179221336541985,11.751677528327098,3.6266868292668764,15.05456589834014,7.023431234627044,5.019637069198544,6.721267801710733,6.1068154771137735,5.405504836956863,11.758350325422759,9.420853368467476,0.029399865138233304,0.3472690492245448,0.3073499662845583,0.0033715441672285905,0.0296695886716116,0.09103169251517194,0.033715441672285906,0.010114632501685771,0.09467296021577883,0.3068105192178017,0.013486176668914362,0.12137559002022925,0.0,0.016857720836142953,0.0033715441672285905,0.9223870532703977,0.8612272420768712,t,103,3,2,918,4.166666667,3.4,2.0
26,0.0,10.313934574371983,0.0,12.234050472701096,16.31121513644809,22.90053062658156,7.195201802701864,20.229484935305617,28.825241440101042,15.446692414797228,8.368975851128706,2.830854006275497,5.077329520260738,0.0,24.155441315373285,0.11553852788670804,0.7455177001949043,0.16087135306447892,0.0,0.037977942036834585,0.2540777812323441,0.0334312870042558,0.0,0.1947038155127858,0.23736213773021617,0.00668625740085116,0.02340190090297906,0.0,0.00334312870042558,0.00334312870042558,0.8684111112225485,0.6389387572253369,t,105,3,2,835,4.166666667,2.8,2.333333333
27,0.0,39.20481375313636,0.0,0.0,0.0,38.14307630137297,7.028791080241767,14.940297290506718,20.322847809536484,5.460497574308307,23.611063469002875,1.1631301790679992e-13,7.211550989181715,0.0,15.916462997869836,0.0,0.047384702864066826,0.0,0.0,0.006363088670317545,0.01015386489944289,0.01015386489944289,0.0,0.00880001624618384,0.1116925138938718,0.01692310816573815,0.050769324497214455,0.0,0.0,0.0,0.7164567073046905,0.7932876183771416,t,107,3,2,1243,4.166666667,3.0,3.0
28,0.0,10.867662683518246,19.655697240537847,13.479700060587378,0.0,0.1351249248750443,8.80716698299947,20.645229057489715,11.62209916103723,6.450061732422985,31.19431187375789,3.714636420294395,18.6403399087174,0.0,34.16825689431545,0.042840496264308726,0.14394406744807733,0.11748577695524026,0.0,0.02666392487490575,0.06169031462060457,0.06169031462060457,0.003427239701144698,0.13887175269038318,0.14737130714922203,0.013708958804578793,0.06511755432174927,0.0,0.04112687641373638,0.003427239701144698,0.7855233395023649,0.7353485502776065,t,111,3,1,1291,2.166666667,2.4,1.333333333
29,0.0,20.18808148000443,16.529834248130356,12.68265335311934,0.0,0.0,14.457102744396401,7.017548660671365,10.146269160028256,9.537578244614707,7.64291319479824,18.933281400596403,8.652136931255843,10.77345283593046,20.342644717039946,0.0,0.19633484908511467,0.06044308568263174,0.0,0.0,0.06661360951102105,0.01752989723974238,0.014023917791793905,0.039898046117653664,0.17179299294947534,0.0070119588958969525,0.06661360951102105,0.0,0.0035059794479484763,0.0035059794479484763,0.7139576547802277,0.7483162533701228,t,113,3,1,1197,3.5,3.2,1.666666667
30,0.0,11.400527708258842,0.0,0.0,19.90463007004153,0.0,7.890223753521321,27.78018493084997,22.60551953952757,13.349527822281578,8.74776428624698,36.10717522696901,32.00960934637089,11.486259075184712,13.38671643326085,0.01976244731694529,0.043692485564674956,0.0,0.0,0.05525418943717356,0.023526722996363436,0.030248643852467276,0.0,0.0,0.1377993775501287,0.016804802140259596,0.08738497112934991,0.0,0.0033609604280519195,0.0,0.8975108727069847,0.266188065901712,t,115,3,2,1245,2.0,1.6,2.333333333
31,7.008778351537326,23.81042399882201,0.0,0.0,7.405672451409116,19.111934081007735,18.020908237307474,8.606024036748336,22.412312254919406,9.476762948249899,3.8023799080836773,5.316556101943868,18.93459127283679,0.0,16.84459116619115,0.13222630162363158,0.40943169538281865,0.0,0.0,0.10524408169840321,0.13423990012551432,0.036915972534516436,0.0033559975031378577,0.37647579990200486,0.20471584769140933,0.010067992509413573,0.0872559350815843,0.010067992509413573,0.0,0.0,0.7183177055716271,0.49010987535825273,t,117,3,1,1355,2.333333333,2.8,1.333333333
