,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
656,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,138.2000000000001
657,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,138.40000000000012
658,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,138.6000000000001
659,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,138.80000000000013
660,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,139.0000000000001
661,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,139.20000000000013
662,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,139.40000000000012
663,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,139.6000000000001
664,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,139.80000000000013
665,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,140.0000000000001
666,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,140.20000000000013
667,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,140.40000000000012
668,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,140.6000000000001
669,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,140.80000000000013
670,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,141.0000000000001
671,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,141.20000000000013
672,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,141.40000000000012
673,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,141.6000000000001
674,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,141.80000000000013
675,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,142.0000000000001
676,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,142.20000000000013
677,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,142.40000000000012
678,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,142.6000000000001
679,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,142.80000000000013
680,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,143.0000000000001
681,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,143.20000000000013
682,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,143.40000000000012
683,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,143.6000000000001
684,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,143.80000000000013
685,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,144.0000000000001
686,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,144.20000000000013
687,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,144.40000000000012
688,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,144.60000000000014
689,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,144.80000000000013
690,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,145.0000000000001
691,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,145.20000000000013
692,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,145.40000000000012
693,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,145.60000000000014
694,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,145.80000000000013
695,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,146.0000000000001
696,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,146.20000000000013
697,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,146.40000000000012
698,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,146.60000000000014
699,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,146.80000000000013
700,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,147.0000000000001
701,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,147.20000000000013
702,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,147.40000000000012
703,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,147.60000000000014
704,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,147.80000000000013
705,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,148.0000000000001
706,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,148.20000000000013
707,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,148.40000000000012
708,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,148.60000000000014
709,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,148.80000000000013
710,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,149.0000000000001
711,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,149.20000000000013
712,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,149.40000000000012
713,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,149.60000000000014
714,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,149.80000000000013
715,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150.0000000000001
716,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,150.20000000000013
717,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,150.40000000000012
718,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,150.60000000000014
719,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,150.80000000000013
720,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,151.0000000000001
721,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,151.20000000000013
722,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,151.40000000000012
723,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,151.60000000000014
724,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,151.80000000000013
725,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,152.00000000000014
726,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,152.20000000000013
727,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,152.40000000000012
728,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,152.60000000000014
729,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,152.80000000000013
730,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,153.00000000000014
731,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,153.20000000000013
732,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,153.40000000000012
733,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,153.60000000000014
734,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,153.80000000000013
735,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,154.00000000000014
736,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,154.20000000000013
737,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,154.40000000000012
738,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,154.60000000000014
739,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,154.80000000000013
740,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,155.00000000000014
741,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,155.20000000000013
742,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,155.40000000000012
743,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,155.60000000000014
744,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,155.80000000000013
745,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,156.00000000000014
746,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,156.20000000000013
747,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,156.40000000000012
748,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,156.60000000000014
749,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,156.80000000000013
750,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,157.00000000000014
751,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,157.20000000000013
752,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,157.40000000000015
753,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,157.60000000000014
754,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,157.80000000000013
755,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,158.00000000000014
756,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,158.20000000000013
757,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,158.40000000000015
758,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,158.60000000000014
759,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,158.80000000000013
760,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,159.00000000000014
761,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,159.20000000000013
762,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,159.40000000000015
763,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,159.60000000000014
764,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,159.80000000000013
765,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,160.00000000000014
766,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,160.20000000000013
767,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,160.40000000000015
768,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,160.60000000000014
769,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,160.80000000000013
770,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,161.00000000000014
771,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,161.20000000000013
772,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,161.40000000000015
773,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,161.60000000000014
774,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,161.80000000000013
775,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,162.00000000000014
776,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,162.20000000000013
777,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,162.40000000000015
