,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:other,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:pick up,"[3, 0.7323793192736917]","[2, 0.07573258233776217]","[1, 0.16130878857554662]","[1, 0.066879325032072]","[2, 0.5506390561776893]","[4, 0.14547287471513948]","[4, 0.7629929794623793]","[5, 0.004522268606675978]","[1, 0.4335788295882169]","[5, 0.9998092921590893]","[1, 1.0]","[1, 0.17452395617737165]","[1, 1.0]","[5, 5.985470848696291e-06]","[2, 0.10907774956676417]","[1, 0.4556526875627207]","[2, 0.5994955048886141]","[1, 0.02330730782662836]","[2, 0.005345600026088197]","[2, 0.23312381609488736]","[1, 1.0]","[100, 100]","[4, 0.22745866998255446]","[1, 0.15361603338327462]","[100, 100]","[1, 1.0]","[1, 0.06481664213733368]","[0, 1]","[5, 0.999998994547264]","[1, 1.0]","[2, 3.1087386523204777e-10]","[5, 0.9999671771766614]","[1, 0.09981765242601186]","[5, 0.9999987914844405]","[1, 0.03332710738754114]","[5, 0.9999919850174401]","[1, 0.09699078616010094]","[2, 0.14345035921190158]","[2, 0.29289650679301255]"
robot text:positive feedback,"[3, 0.11576244664444554]","[5, 0.006821419581505826]","[2, 0.09373583410741142]","[1, 0.25345316393498624]","[1, 0.3068280395949226]","[4, 0.20352232103979828]","[1, 0.07190834405111514]","[1, 1.0]","[5, 0.3266288696489206]","[1, 1.0]","[4, 0.16083726489077463]","[5, 0.003369208871490327]","[1, 1.0]","[1, 1.0]","[3, 0.07107471007962993]","[1, 2.2085281300599584e-05]","[4, 0.004030933690709689]","[1, 0.034764741156048946]","[1, 1.0]","[1, 1.0]","[5, 0.001994576901800338]","[100, 100]","[1, 0.010305008041794527]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.6402248922376845]","[0, 1]","[4, 0.7726081033544328]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0056643905446573176]","[2, 0.1386342861903906]","[3, 0.01612951335280557]","[1, 0.019522161545282555]","[3, 0.21458874047749565]","[1, 0.0036391138494507908]"
robot text:put down,"[5, 2.0488878701287094e-05]","[4, 0.4763329470173461]","[4, 0.0006176414630082997]","[2, 0.14561754716407116]","[2, 0.6572357353964302]","[4, 2.6273048943084567e-16]","[3, 0.10919279827397599]","[1, 1.0]","[4, 0.0035124091732515817]","[1, 1.0]","[5, 2.339974826568752e-05]","[1, 0.02601491832108844]","[3, 0.00029485236608663715]","[5, 0.999973112178881]","[4, 0.6908911728297589]","[5, 0.15671464900421447]","[1, 0.34452100273253505]","[4, 0.495120225841331]","[1, 1.0]","[2, 0.29971177447630654]","[1, 0.008935852709864868]","[100, 100]","[2, 0.5395187791910793]","[1, 0.24457336285112252]","[100, 100]","[1, 1.0]","[1, 0.0024858542197558806]","[1, 1.0]","[2, 0.021672708449894596]","[0, 1]","[3, 0.43820054974932765]","[1, 1.0]","[2, 0.1650404515710846]","[5, 0.0008279271819738228]","[3, 0.006623511037067599]","[5, 0.0015810217247892375]","[1, 0.4992225925568421]","[4, 0.9616626509803488]","[5, 4.15729373976837e-09]"
robot text:try again,"[1, 0.20861590631804788]","[1, 0.09780484745314419]","[3, 0.014916555392638907]","[2, 0.2217701418512028]","[1, 0.19630990642561458]","[1, 1.0]","[1, 0.25563602753438913]","[4, 0.010799930367592296]","[1, 0.06300398084708057]","[1, 1.0]","[4, 0.11301966774400854]","[2, 0.07400026268812847]","[5, 3.2428172835564896e-09]","[5, 1.0541843947608078e-10]","[2, 0.2828974113635134]","[1, 0.37823678189336096]","[1, 0.23364281233572676]","[4, 0.004970508128016376]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.12782498914368354]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.7082879028272022]","[1, 1.0]","[2, 0.25797629317094595]","[0, 1]","[5, 0.07531818535304381]","[5, 0.004310219751274315]","[5, 0.001139364005076934]","[5, 0.24758154262232185]","[5, 0.09049502754960496]","[1, 0.3269401941800549]","[4, 0.021400662508180072]","[2, 0.17990951867951252]"
robot text:correction,"[5, 0.46680725583823934]","[3, 0.06557080038739362]","[4, 0.7635847603677199]","[4, 0.038121399302193985]","[4, 0.011982460097268001]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.14156202750293131]","[1, 1.0]","[1, 1.0]","[4, 0.007222602533164002]","[1, 1.0]","[1, 1.0]","[1, 0.09495642946859802]","[5, 0.2767583437253771]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.010305008041794175]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.0165218352348382]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[0, 1]","[5, 0.08015699484638276]","[1, 1.0]","[1, 1.0]","[5, 0.0008758821000378175]","[3, 0.4742370200692251]","[1, 1.0]","[3, 0.528570343667293]"
Conversational turns:PC,"[5, 2.0937106050792426e-09]","[4, 0.6371192272265845]","[2, 0.08741876128903316]","[1, 0.059462370439582315]","[3, 0.5358806430040672]","[4, 0.5520549400089504]","[1, 0.3046449802570475]","[3, 0.9988897986135514]","[4, 0.20544467255625465]","[1, 1.0]","[2, 0.05544576914695705]","[4, 0.1996104397044114]","[1, 1.0]","[1, 0.5650272489579278]","[1, 0.46606093760858935]","[5, 0.4950100248291638]","[1, 0.34256794671049284]","[3, 0.011590771336994885]","[1, 1.0]","[5, 0.3283063542605198]","[1, 0.6866985713530138]","[100, 100]","[5, 0.07093202025440544]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.1258267804274739]","[1, 0.13297862308000327]","[1, 0.725083953727037]","[1, 0.05707252950604135]","[1, 1.0]","[0, 1]","[3, 4.669550302357116e-05]","[1, 0.13909768921352986]","[2, 0.03123461506337159]","[4, 0.8929523044175665]","[1, 0.08255596350286254]","[1, 0.17364156081092283]"
Conversational turns:CP,"[5, 0.0202528176783976]","[2, 0.41314028541513614]","[4, 0.012995567894135291]","[4, 0.23629172018961972]","[2, 0.05277030674036938]","[5, 0.0005580136134979305]","[2, 0.6680224083861273]","[2, 0.9999656563191611]","[3, 0.006544836837966855]","[1, 1.0]","[1, 0.0755333820129638]","[5, 0.0033809357161686104]","[4, 4.684860352351048e-05]","[1, 1.0]","[1, 0.09430765348583149]","[4, 0.048993858330097576]","[3, 0.31625806935234757]","[5, 0.00023731804778474383]","[1, 1.0]","[4, 0.23957834830553426]","[4, 0.0009850485294876092]","[100, 100]","[1, 0.26300098795363613]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.280319273647292]","[5, 0.1070678393636682]","[3, 0.036627202029357035]","[1, 0.9059463938447547]","[1, 0.8511060379423181]","[4, 0.005189736433211552]","[0, 1]","[4, 0.00012212841603917815]","[5, 0.06634997021969716]","[3, 0.6882598333882309]","[5, 0.031186195987802503]","[5, 0.03866192738157423]"
Conversational turns:PCP,"[5, 0.047637731232562305]","[4, 0.9386831501109949]","[3, 0.008189791930616723]","[4, 0.0786202084567842]","[1, 0.006176135987322675]","[4, 0.029822651151261693]","[1, 0.2312439623680047]","[1, 1.0]","[4, 0.14456985299514746]","[1, 1.0]","[5, 0.000210037606224139]","[4, 0.003512643537639833]","[4, 1.5941593055158376e-09]","[1, 1.0]","[1, 0.025818761041079205]","[4, 0.15596013435147904]","[1, 0.011217350259871795]","[5, 0.9948979235081589]","[1, 1.0]","[4, 0.04061109936399078]","[5, 0.999096153320573]","[100, 100]","[5, 0.5908250748825544]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.09982927855479656]","[1, 0.046626247128111996]","[4, 0.05975100531144775]","[1, 1.0]","[5, 0.999096153320573]","[5, 0.021021338780548522]","[1, 0.03995582989268161]","[0, 1]","[5, 0.09478312640849551]","[4, 0.8916281205245149]","[4, 0.028983801811884577]","[4, 0.04011476721682931]"
Conversational turns:CPC,"[4, 8.090723865356706e-07]","[4, 0.2742749829338758]","[3, 0.09775174781572951]","[3, 0.23093344173126276]","[2, 0.014416177761637018]","[2, 0.05111464588912455]","[2, 0.4471579885611282]","[1, 1.0]","[1, 0.036821570321616974]","[1, 1.0]","[1, 1.0]","[1, 0.07211174285881315]","[1, 1.0]","[1, 1.0]","[3, 0.12159698724315297]","[3, 0.6077105389432713]","[1, 0.18285147153139453]","[4, 1.2235944632300769e-05]","[1, 1.0]","[5, 0.36760090307764315]","[4, 0.0011476626345705368]","[100, 100]","[5, 0.6567267929310917]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.07846951723817208]","[5, 0.0027889636146492974]","[2, 0.1813310599563365]","[3, 0.0022245224567816377]","[1, 1.0]","[5, 0.007499762543684884]","[3, 0.1268069415717792]","[4, 0.002731758778196193]","[0, 1]","[1, 0.27239464885021997]","[5, 0.9020931873284986]","[3, 0.1699904589809945]"
Joint attention:robot,"[1, 0.25268206241034386]","[1, 0.3846324424981242]","[2, 0.09181122465570311]","[4, 0.00018572986711993752]","[4, 0.7114720965260546]","[1, 0.08231148784589652]","[2, 0.062366066754415785]","[1, 0.27186734724335726]","[1, 0.20969532584145117]","[5, 0.9999128710776474]","[3, 0.01743589644252875]","[3, 0.422058793970682]","[1, 1.0]","[1, 1.0]","[2, 0.04191898823419433]","[2, 1.2170125907961018e-06]","[1, 0.6471321448849632]","[5, 0.032972960106934325]","[3, 0.017523108091366715]","[1, 0.9550930400561649]","[1, 0.11981304896148012]","[100, 100]","[2, 0.20761018586736257]","[5, 0.05714988280570134]","[100, 100]","[4, 0.0492561954829647]","[3, 0.035359362353074256]","[2, 0.3300953971800282]","[2, 9.58278372560901e-05]","[4, 0.718104326856156]","[1, 0.3258228760628934]","[1, 0.0017405650402881013]","[1, 0.0966987421276827]","[1, 0.10752710553180923]","[1, 0.0017506129890699164]","[2, 0.1768171909141172]","[0, 1]","[1, 0.18813017059150794]","[2, 0.527532955041156]"
Joint attention:props,"[1, 0.02043342276157945]","[1, 0.004030113613104411]","[3, 0.0003018887680861864]","[1, 0.03042300296179553]","[1, 0.18048062408546692]","[1, 0.802072976187246]","[2, 0.2190369740914923]","[5, 0.22406699114948955]","[3, 0.021763740492999433]","[4, 0.042156791487711266]","[3, 0.0276671567173985]","[3, 0.01941951420588073]","[2, 0.08427740345234425]","[4, 0.0714460469032927]","[4, 0.007628971283436562]","[3, 0.0005025701915339305]","[1, 0.06373471859950643]","[5, 0.14882545167859834]","[4, 0.5111022373138221]","[1, 0.35460020054421415]","[1, 0.05016774625966465]","[100, 100]","[4, 0.04955639538369167]","[1, 0.4978972272669895]","[100, 100]","[1, 1.0]","[1, 0.3812582372486918]","[4, 0.6138895877167769]","[4, 7.678170111588419e-05]","[3, 0.0791997586555849]","[2, 0.2394193041860675]","[3, 0.11966269272645103]","[1, 0.006970281002967612]","[5, 0.12022320556823773]","[5, 0.044080391496807696]","[1, 0.1900943132849272]","[3, 0.05160665516837076]","[0, 1]","[3, 0.0726954216452989]"
Mutual gaze:MG,"[4, 3.0580511130666636e-06]","[3, 0.0011084409016938709]","[2, 0.0010414026475981135]","[2, 2.3562658429206923e-09]","[5, 0.06608277448047013]","[1, 0.21567499581558494]","[1, 0.5556826930946007]","[1, 0.43363032876988017]","[3, 7.114181272292398e-05]","[1, 1.0]","[5, 0.026410174079239405]","[3, 0.10861174294949587]","[5, 0.12699254266088755]","[1, 0.04068585099683681]","[3, 0.002193768917878361]","[2, 0.02807958610730088]","[3, 0.01923778566785517]","[4, 0.028119855969651688]","[1, 1.0]","[5, 0.013922631625531494]","[4, 0.03661844598095296]","[100, 100]","[1, 0.4916491919183137]","[3, 0.9047413824877979]","[100, 100]","[1, 1.0]","[2, 0.5411644537088696]","[3, 0.516584649480754]","[3, 0.21695287574734318]","[4, 0.0009048964691359215]","[2, 0.17661429174666127]","[3, 0.1425043757696227]","[5, 0.03948376819430176]","[5, 0.00015080071904849637]","[1, 0.39654695733083156]","[5, 0.00695105764666245]","[4, 0.11386163237370137]","[1, 0.0032800897104223853]","[0, 1]"
