,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:scaffolding,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
robot text:teach,"[4, 0.18529971128559566]","[1, 0.003926454944020893]","[3, 0.022727208986397313]","[5, 0.010213206779975335]","[2, 0.24782009863067]","[1, 1.0]","[100, 100]","[4, 2.496075062671841e-07]","[1, 0.21079119624415907]","[5, 0.999993852982026]","[2, 0.3392735574297008]","[100, 100]","[2, 0.9519034564918485]","[1, 1.0]","[2, 0.9919188732848824]","[1, 1.0]","[5, 0.016855222574766224]","[3, 0.11517802426582259]","[1, 1.0]","[5, 0.21549902078329858]","[1, 1.0]","[2, 0.9919188732848824]","[2, 0.014916222196770789]","[2, 0.06502184660282592]","[1, 1.0]","[1, 0.85953562690895]","[100, 100]","[1, 1.0]","[100, 100]","[5, 0.9999912326182055]","[5, 0.5749510037654819]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9257765123016543]","[3, 0.32262383347147483]","[5, 0.8115594823867408]","[3, 0.07936065356705205]","[1, 0.019922868757558727]","[3, 0.002112094427500025]"
robot text:pick up,"[5, 0.3429305605653704]","[4, 0.249703484836476]","[3, 0.030737249822431863]","[5, 0.005525710686337581]","[1, 0.01760002865025663]","[1, 0.9936839393049836]","[100, 100]","[1, 1.0]","[1, 0.07004452549684051]","[1, 1.0]","[2, 0.4284725941922216]","[100, 100]","[3, 4.122669419924384e-05]","[1, 1.0]","[1, 0.05456414106443963]","[1, 1.0]","[1, 1.0]","[3, 0.04837521281298459]","[1, 1.0]","[2, 0.024328791118630413]","[1, 1.0]","[1, 0.05456414106443963]","[5, 0.11208124695256652]","[1, 0.04853360241592303]","[1, 1.0]","[5, 0.011442417588003849]","[100, 100]","[1, 0.9890529424341684]","[5, 0.0001543921640640208]","[100, 100]","[5, 0.9700462829152893]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.04840447538782497]","[2, 0.2306348133166558]","[1, 0.025917625949342885]","[1, 0.9958659571099279]","[4, 0.46634123761763435]","[1, 0.0001033640429766239]"
robot text:positive feedback,"[3, 0.8089243406923524]","[2, 0.5804686510874599]","[5, 0.999786966577866]","[1, 0.004167991620910291]","[4, 0.5503979342961967]","[2, 0.016637483599607403]","[100, 100]","[5, 0.9998548640392905]","[2, 0.13076815767849187]","[1, 1.0]","[2, 0.6279354407981885]","[100, 100]","[1, 1.0]","[2, 0.04703035544038449]","[3, 0.5528831802928378]","[1, 1.0]","[1, 0.2173151839909723]","[2, 0.46772990413726434]","[1, 1.0]","[5, 0.9998647688905907]","[5, 0.024363643043617583]","[3, 0.5528831802928378]","[2, 0.42080261726177026]","[4, 0.022611724416823263]","[1, 1.0]","[5, 0.999971142152268]","[100, 100]","[1, 1.0]","[5, 0.999965071272247]","[4, 0.043637942492921175]","[100, 100]","[3, 3.3564043142090505e-05]","[1, 1.0]","[1, 1.0]","[5, 0.6141059398673945]","[5, 0.9992018277106101]","[5, 0.7297812416251075]","[5, 0.9971404487421175]","[1, 0.40398105123662265]","[5, 0.9985899872793087]"
robot text:put down,"[1, 1.0]","[4, 0.332795832140405]","[1, 1.0]","[1, 1.0]","[1, 0.02399855515625881]","[2, 0.0010028544224158786]","[100, 100]","[1, 1.0]","[4, 0.0349320117564371]","[1, 1.0]","[4, 0.052379752351415454]","[100, 100]","[1, 1.0]","[4, 1.29520029083885e-06]","[1, 0.06580753108398306]","[1, 1.0]","[5, 0.5673401424648252]","[1, 0.12254192399562466]","[1, 1.0]","[1, 1.0]","[3, 9.911675934558715e-10]","[1, 0.06580753108398306]","[4, 0.07850395079825287]","[1, 0.0001441010451170779]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 9.003394671545667e-06]","[100, 100]","[5, 0.988139507721292]","[1, 1.0]","[1, 1.0]","[5, 0.9998989212474478]","[5, 0.9997007618258347]","[1, 1.0]","[5, 0.3211802613341455]","[1, 1.0]"
robot text:correction,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.059570183138061415]","[1, 1.0]","[5, 0.0008621901310946313]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 2.4935963660062633e-06]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0001074877646540537]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:try again,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.6756806535207824]","[1, 1.0]","[3, 0.3652818204498068]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.060732543265712174]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.060732543265712174]","[1, 1.0]","[3, 0.06680100157266786]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Conversational turns:PC,"[3, 0.00017326035983844716]","[1, 0.235857250350871]","[2, 0.037637986713046974]","[5, 0.05201253910378595]","[1, 1.0]","[1, 0.9945906238866775]","[100, 100]","[5, 0.04274007989662815]","[2, 0.40220923360841004]","[2, 0.9633358404228556]","[2, 0.398059392384461]","[100, 100]","[5, 0.00041276281012581013]","[1, 1.0]","[5, 0.7268790276358021]","[2, 0.00023231489007076792]","[1, 0.1537689123078071]","[4, 0.150424513259082]","[3, 0.9945934100540919]","[5, 0.00405764931949946]","[1, 1.0]","[5, 0.7268790276358021]","[4, 0.16670813295205367]","[1, 0.40192340162680884]","[2, 0.00023231489007076792]","[3, 0.060251414936952075]","[100, 100]","[1, 0.9906243640570664]","[1, 0.014659581993856878]","[3, 0.3959572990291885]","[4, 0.5121000239549958]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.533371819933611]","[2, 0.018735140519342747]","[4, 0.250220618263713]","[1, 0.05390689384894668]","[2, 0.9633133177764571]"
Conversational turns:CP,"[4, 0.12009695407364136]","[4, 0.1646640427246842]","[5, 0.012564794945547407]","[4, 4.132397816872748e-15]","[2, 0.9909395605285896]","[1, 0.9945906238765582]","[100, 100]","[1, 0.019692392033392216]","[5, 0.35972606061632945]","[1, 1.0]","[5, 0.1243661950406615]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.09908351962264386]","[1, 1.0]","[2, 0.3566377051219474]","[5, 1.9934486264480927e-05]","[1, 1.0]","[5, 0.03596139365268575]","[1, 1.0]","[1, 0.09908351962264386]","[5, 0.19137137503147778]","[2, 0.6988539648132002]","[1, 1.0]","[2, 0.5983825063215327]","[100, 100]","[1, 0.9906243640473362]","[2, 0.5245398082719721]","[4, 0.5179570938895093]","[1, 0.010413736664674683]","[2, 0.993967444721771]","[1, 1.0]","[1, 1.0]","[3, 0.5354711808906016]","[100, 100]","[2, 0.8664637718941405]","[2, 0.8255565914858287]","[4, 0.6076807169652905]","[5, 5.3044166696707596e-14]"
Conversational turns:PCP,"[4, 0.018405529080773475]","[1, 0.12521081475340803]","[2, 0.00421534363867659]","[5, 0.002485187635340653]","[1, 1.0]","[1, 0.9930155983875157]","[100, 100]","[4, 0.05296827043249586]","[5, 0.028817714333683346]","[1, 0.9990223061616317]","[5, 0.015803364677411433]","[100, 100]","[5, 3.121741374157976e-07]","[1, 1.0]","[5, 0.4168408129002904]","[2, 6.744657121311898e-07]","[4, 0.39017320383032345]","[5, 0.5666340106392225]","[3, 0.999999999506931]","[1, 0.9988598201821011]","[1, 1.0]","[5, 0.4168408129002904]","[4, 0.42401320140282484]","[5, 0.9415227703120953]","[2, 6.744657121311898e-07]","[3, 0.5178309386171585]","[100, 100]","[1, 0.9878946217201009]","[3, 0.4779111205425822]","[2, 0.9999998562367197]","[5, 0.36808427676643074]","[1, 0.9996102976591457]","[1, 1.0]","[1, 1.0]","[1, 0.9984625708795263]","[3, 0.25093224351491167]","[100, 100]","[3, 0.05157212065301615]","[1, 0.21466578757510144]","[1, 0.9936737548959143]"
Conversational turns:CPC,"[3, 0.058457985760670864]","[2, 0.21228820450489957]","[1, 0.99386575371324]","[2, 5.932770648629389e-06]","[2, 0.9999996153118542]","[1, 0.9920796820103754]","[100, 100]","[4, 0.00036454894821152126]","[3, 0.430665649698739]","[1, 1.0]","[2, 0.26324995208278673]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.9999999999999635]","[1, 1.0]","[2, 0.0015286170103115736]","[3, 0.22341720959387792]","[1, 1.0]","[2, 0.0027613650110870085]","[1, 1.0]","[4, 0.9999999999999635]","[3, 0.17038609194115903]","[1, 0.21940863023694876]","[1, 1.0]","[1, 0.9995988987085134]","[100, 100]","[1, 0.9862725888635571]","[3, 0.999999999960523]","[1, 1.0]","[1, 0.0001609458747660867]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.997883851087566]","[2, 0.0645511583471014]","[2, 0.020632902554123034]","[100, 100]","[2, 0.0014333610434795032]","[1, 0.9920796820103754]"
Joint attention:tablet,"[5, 2.7356189678857775e-09]","[3, 0.0661962525864681]","[3, 3.0393329795105574e-08]","[5, 0.0032983562489935186]","[2, 0.0019692312416897807]","[1, 0.9953936498994411]","[100, 100]","[5, 0.018196846628543137]","[1, 0.36087744955403234]","[2, 0.022556702430751075]","[1, 0.05917184388232284]","[100, 100]","[1, 1.0]","[2, 0.0004508342358700267]","[5, 0.01801037285839618]","[1, 1.0]","[2, 0.026511766091838383]","[2, 1.6623135826099507e-11]","[1, 0.48059926143951137]","[4, 0.4362284209762205]","[1, 1.0]","[5, 0.01801037285839618]","[3, 0.009137815058255365]","[1, 0.47526579657901735]","[1, 1.0]","[5, 0.5166870602609899]","[100, 100]","[5, 0.006765279602998049]","[5, 0.5671599872218078]","[5, 0.3238344396029782]","[4, 0.19786181277402914]","[1, 0.051662724442180674]","[1, 1.0]","[1, 1.0]","[5, 0.00926672026989902]","[2, 7.651930310617191e-10]","[2, 0.04688732804125193]","[5, 0.0006562881574209348]","[100, 100]","[1, 0.025100208521034346]"
Mutual gaze:MG,"[3, 2.9314673621727966e-13]","[1, 1.6285606798399136e-17]","[2, 1.0138756890619436e-131]","[5, 1.0617754244476287e-70]","[1, 1.0]","[1, 0.9878946268562997]","[100, 100]","[5, 9.438545659146972e-13]","[2, 0.6356601410151344]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0011655669175821975]","[5, 0.9999999999999998]","[1, 1.0]","[2, 0.011378738041261691]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.35534712723572626]","[100, 100]","[1, 0.9790200067869304]","[2, 0.32247056663428736]","[1, 1.0]","[4, 0.03221719834913512]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1840076741063958]","[4, 1.582719106679299e-13]","[2, 0.05489484548190349]","[5, 1.2624278949036702e-06]","[1, 1.6531652912691617e-11]","[100, 100]"
