,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
106,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,65.02
107,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,65.52
108,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,66.02
109,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,66.52
110,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,67.02
111,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,67.52
112,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,68.02
113,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,68.52
114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69.02
115,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,69.52
116,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,70.02
117,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,70.52
118,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,71.02
119,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,71.52
120,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,72.02
121,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,72.52
122,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,73.02
123,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,73.52
124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,74.02
125,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,74.52
126,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,75.02
127,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,75.52
128,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,76.02
129,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,76.52
130,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,77.02
131,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,77.52
132,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,78.02
133,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,78.52
134,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,79.02
135,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,79.52
136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80.02
137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80.52
138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81.02
139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81.52
140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82.02
141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82.52
142,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,83.02
143,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,83.52
144,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,84.02
145,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,84.52
146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85.02
147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85.52
148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.02
149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.52
150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87.02
151,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,87.52
152,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,88.02
153,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,88.52
154,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,89.02
155,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,89.52
156,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,90.02
157,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,90.52
158,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,91.02
159,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,91.52
160,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,92.02
161,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,92.52
162,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,93.02
163,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,93.52
164,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,94.02
165,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,94.52
166,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,95.02
167,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,95.52
168,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,96.02
169,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,96.52
170,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97.02
171,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97.52
172,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,98.02
173,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,98.52
174,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99.02
175,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99.52
176,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,100.02
177,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,100.52
178,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,101.02
179,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,101.52
180,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,102.02
181,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,102.52
182,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,103.02
183,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,103.52
184,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,104.02
185,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,104.52
186,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,105.02
187,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,105.52
188,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,106.02
189,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,106.52
190,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,107.02
191,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,107.52
192,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,108.02
193,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,108.52
194,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,109.02
195,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,109.52
196,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,110.02
197,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,110.52
198,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,111.02
199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111.52
200,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,112.02
201,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,112.52
202,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,113.02
203,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,113.52
204,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,114.02
205,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,114.52
206,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,115.02
207,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,115.52
208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,116.02
209,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,116.52
210,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,117.02
211,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,117.52
212,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,118.02
213,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,118.52
214,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,119.02
215,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,119.52
216,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,120.02
217,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,120.52
218,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,121.02
219,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,121.52
220,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,122.02
221,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,122.52
222,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,123.02
223,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,123.52
224,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,124.02
225,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,124.52
226,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,125.02
227,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,125.52
228,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,126.02
229,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,126.52
230,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,127.02
231,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,127.52
232,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,128.02
233,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,128.52
234,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,129.02
235,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,129.52
236,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,130.02
237,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,130.52
238,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,131.02
239,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,131.52
240,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,132.02
241,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,132.52
242,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,133.02
243,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,133.52
244,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,134.02
245,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,134.52
246,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,135.02
247,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,135.52
248,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,136.02
249,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,136.52
250,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,137.02
251,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,137.52
252,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,138.02
253,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,138.52
254,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,139.02
255,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139.52
