,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:teach,"[1, 0.19054666543709298]","[100, 100]","[2, 0.5714449137559299]","[5, 0.8907871357099861]","[1, 0.23771772127828136]","[1, 0.888508867929406]","[1, 0.0019216678724728563]","[1, 1.0]","[3, 0.9991114992022507]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.541484675992779]","[1, 0.014539627997646376]","[2, 0.1770887277124909]","[1, 0.7532168842733091]","[1, 0.026486615096252202]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.12431729763879205]","[2, 0.9999999999998781]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.844908490707688]","[1, 1.0]","[4, 8.34426845871506e-05]","[4, 0.9999999646659302]","[1, 1.0]","[3, 0.9998597973145723]","[1, 1.0]","[1, 1.0]","[1, 0.16587471389609718]","[2, 0.36386834527804274]","[1, 1.0]"
robot text:pick up,"[2, 0.5209444186475539]","[100, 100]","[3, 0.770503620251471]","[1, 1.0]","[4, 0.7557679208293042]","[1, 0.14144134854996795]","[2, 0.23339286722186822]","[1, 1.0]","[5, 0.004374966872015515]","[1, 1.0]","[4, 0.06439873792103841]","[1, 1.0]","[1, 1.0]","[4, 0.10818988295859179]","[2, 0.0017459310899615884]","[3, 0.7173188384522597]","[1, 1.0]","[3, 0.6330027970344034]","[1, 0.0009714779661548746]","[2, 0.06672528484633618]","[2, 0.0017459310899615884]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 2.318109215990057e-11]","[100, 100]","[1, 1.0]","[1, 1.6530698368250274e-15]","[100, 100]","[4, 5.575899635742353e-10]","[1, 1.0]","[1, 0.019926448066002286]","[4, 0.007594186836557761]","[5, 0.7467569031996907]","[4, 3.803204418566325e-05]","[5, 0.1344100917703329]","[1, 1.0]","[3, 0.5252791644913555]","[2, 0.21962315261661444]"
robot text:try again,"[1, 0.08655181959631884]","[100, 100]","[4, 0.10532419508516255]","[1, 1.0]","[4, 0.07256264615742258]","[4, 0.04954303705375272]","[1, 1.0]","[1, 1.0]","[3, 0.013247544432122605]","[1, 1.0]","[2, 0.1696273280844505]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.21868253162212953]","[4, 0.1480011781273677]","[5, 0.04104581030378843]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.020426091145739157]","[1, 0.013528483349293177]","[1, 1.0]","[1, 1.2042565305291155e-05]","[3, 0.42526431755330607]","[5, 0.01150438225183548]","[1, 1.0]"
robot text:positive feedback,"[1, 1.0]","[100, 100]","[5, 0.09854488331706385]","[2, 0.01547101609597932]","[3, 0.5461621714786946]","[2, 0.09351233902076032]","[5, 0.2522903131418264]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.7718852809521308]","[4, 0.0001042602285787636]","[2, 2.0693016418252706e-05]","[1, 1.0]","[1, 1.0]","[3, 0.2059223963280361]","[2, 0.18268842881248615]","[1, 0.1615503082617693]","[4, 0.015743916698242193]","[5, 0.031594957902834106]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.13045706434638138]","[2, 1.981929803689276e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.01699271033262974]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.23758125946518663]","[3, 0.4594333674759634]","[2, 0.18162737548835567]"
robot text:put down,"[2, 0.43084476190926746]","[100, 100]","[5, 0.19239853741495236]","[3, 0.9996449257506144]","[5, 0.429302691398312]","[5, 0.7157686656858412]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.05590233783683851]","[1, 1.0]","[4, 2.5233742156687302e-05]","[5, 0.002327757925898038]","[3, 0.9936957503970133]","[2, 0.00037030785982492003]","[5, 0.36625462523667607]","[2, 0.011782069105100889]","[5, 0.015274307625454276]","[1, 1.0]","[3, 0.9936957503970133]","[100, 100]","[1, 1.0]","[3, 0.9884259884715427]","[1, 1.0]","[5, 0.21232513194659433]","[100, 100]","[1, 1.0]","[5, 0.07116063581193136]","[3, 0.9987809903059089]","[1, 1.0]","[4, 0.0006163871215302719]","[100, 100]","[5, 0.4853689507828499]","[2, 0.17511582054136193]","[2, 0.01709682892848112]","[1, 1.0]","[2, 0.45075657711231343]","[2, 0.23918300331886214]","[3, 0.9992511399982529]"
Conversational turns:PC,"[5, 1.0198067882442117e-13]","[100, 100]","[2, 0.6011109894287038]","[5, 0.009549416607135536]","[1, 0.014726623400645048]","[1, 0.20355270385001817]","[4, 0.24431278426599198]","[1, 1.0]","[4, 0.006747235767235071]","[1, 1.0]","[4, 0.13139365925611504]","[1, 1.0]","[1, 1.0]","[4, 0.14342338547170908]","[5, 0.9999823485663168]","[2, 0.0076964558362010395]","[2, 0.2586106534412592]","[2, 0.032967980637202646]","[1, 1.0]","[1, 1.0]","[5, 0.9999823485663168]","[100, 100]","[1, 0.7980272216458588]","[3, 0.15866410659061905]","[1, 0.005260572080396313]","[1, 1.0]","[100, 100]","[5, 0.9999379603707559]","[1, 1.0]","[2, 0.17768347467751053]","[4, 0.09963679082690953]","[2, 0.9956007743056874]","[4, 0.0741623477494583]","[100, 100]","[4, 4.85951822127588e-08]","[1, 0.5048458239130056]","[5, 0.0016233732251047382]","[2, 0.6010594145478063]","[2, 0.15942644549107776]","[2, 0.11357747133864504]"
Conversational turns:CP,"[5, 0.6720663124223644]","[100, 100]","[3, 0.11568413209529786]","[3, 0.1127742973800833]","[1, 0.27005690038024943]","[1, 0.2383000325484629]","[2, 0.3922129239860707]","[1, 1.0]","[3, 0.0006679623434134899]","[5, 0.00016014886372961397]","[5, 3.6362997988937207e-09]","[3, 0.006288780355920773]","[5, 0.9999980847941043]","[5, 0.5127406434331798]","[3, 0.0008488005668355952]","[5, 0.20266672854285345]","[5, 0.12409101018829785]","[4, 0.49623090769419353]","[1, 1.0]","[2, 0.17589788302712675]","[3, 0.0008488005668355952]","[100, 100]","[1, 6.604298716792321e-07]","[5, 0.9999941309955429]","[1, 1.0]","[2, 0.4180007117222676]","[100, 100]","[1, 6.604298716792321e-07]","[2, 0.2929175488649913]","[5, 0.00015086175536550023]","[2, 0.002134930326123386]","[2, 0.21868253162215318]","[3, 0.07218214637568297]","[5, 6.230406512294487e-05]","[100, 100]","[5, 0.0017030475034487537]","[5, 0.9995496651917076]","[2, 0.6715407962859474]","[2, 0.4890630063671054]","[4, 8.383637989809244e-05]"
Conversational turns:PCP,"[1, 0.16155030826174774]","[100, 100]","[1, 0.19200750646837353]","[5, 1.7512440815708017e-05]","[1, 0.09198722988669081]","[2, 0.19728957751485798]","[1, 1.0]","[1, 1.0]","[4, 0.12809410365672536]","[1, 1.0]","[5, 0.08127028766600156]","[3, 1.7396992219656704e-06]","[1, 1.0]","[1, 1.0]","[2, 6.976190050818618e-05]","[2, 0.3632486619068047]","[1, 0.13571431049375599]","[2, 0.07531237609832717]","[1, 1.0]","[1, 1.0]","[2, 6.976190050818618e-05]","[100, 100]","[1, 1.475592409481665e-14]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.026330499528439983]","[1, 1.0]","[2, 0.02850739866730974]","[3, 0.04336613949523339]","[4, 0.19814213221578317]","[5, 0.47495572743631376]","[100, 100]","[1, 1.0]","[4, 0.7616853521295243]","[1, 0.06755204175426892]","[4, 9.210005498061012e-09]"
Conversational turns:CPC,"[5, 1.4281326942688752e-05]","[100, 100]","[2, 0.1075610559940323]","[2, 0.15819473313412374]","[1, 0.05160244582917938]","[4, 0.012867172994438993]","[2, 7.367924296641728e-06]","[1, 1.0]","[5, 0.0894342041293882]","[5, 9.367638755885503e-16]","[4, 0.17466768253460382]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0857718401989492]","[2, 0.2262856674552718]","[5, 0.053075976764754514]","[1, 0.99727368774555]","[1, 0.0009716122390386494]","[1, 1.0]","[100, 100]","[1, 0.9994168799212313]","[3, 0.005350717185548656]","[1, 1.2042564487066978e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0007463391842847316]","[1, 1.0]","[3, 0.012479321115094226]","[1, 0.9990860317582552]","[3, 3.319797051448564e-05]","[1, 1.0]","[100, 100]","[5, 0.779906539748817]","[1, 0.03471005418469874]","[1, 0.9985574233277246]"
Joint attention:robot,"[4, 0.3062187416714208]","[100, 100]","[3, 0.03452715598594762]","[1, 0.00012324519722162671]","[1, 2.75875448884376e-06]","[1, 0.016080352929929827]","[1, 0.061476321069472005]","[5, 0.0002825442312084546]","[1, 0.3840418150136138]","[1, 1.0]","[1, 0.49183223999072934]","[3, 0.9998727393904794]","[4, 0.9999939056506508]","[3, 0.9997420165810083]","[1, 1.0]","[1, 0.0439816588568637]","[5, 0.4331560223761638]","[1, 0.42721172206931435]","[2, 0.03645149310792619]","[4, 0.010703136434587344]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.7555793930520004]","[3, 0.1320189319126491]","[4, 0.23706929768339405]","[100, 100]","[4, 0.022106777980483813]","[4, 0.09670906886506747]","[3, 0.7385804716657349]","[1, 0.09194272461623673]","[2, 0.4922602395873359]","[5, 0.6351843217855186]","[3, 0.7931837774463779]","[1, 0.368053009422866]","[5, 0.9999999138133802]","[1, 0.9999848092369312]","[100, 100]","[1, 0.014078746170165038]","[1, 0.324530525322464]"
Joint attention:props,"[1, 0.4061626550106835]","[100, 100]","[5, 0.002136222598728951]","[1, 0.04789291935774348]","[5, 9.618252381134033e-05]","[5, 0.029745160405765046]","[1, 0.21458746497335907]","[1, 1.0]","[2, 0.18526067858598746]","[1, 1.0]","[4, 1.5228360110464516e-08]","[1, 1.0]","[2, 0.006403310887601156]","[4, 0.39992031520165144]","[4, 0.008502256441134826]","[4, 0.027417241143438017]","[1, 0.3734686791644841]","[2, 0.7920373885373246]","[3, 0.9992462681148542]","[3, 0.07471478191626317]","[4, 0.008502256441134826]","[100, 100]","[1, 1.0]","[5, 0.0005482378574894872]","[4, 0.0030650037080582164]","[2, 0.4864236168888021]","[100, 100]","[1, 1.0]","[2, 0.3626289902062336]","[1, 0.13539693883889214]","[4, 0.05896157215233068]","[2, 0.13857467389379532]","[5, 0.3239347625311891]","[4, 0.02569645481782151]","[3, 0.00646227124842818]","[4, 0.0005931371027602298]","[1, 0.03471005479165032]","[4, 0.6041710128980777]","[100, 100]","[3, 0.6550227408063138]"
Mutual gaze:MG,"[3, 0.000640147585385432]","[100, 100]","[2, 0.0016553100268101094]","[5, 9.26536241893906e-08]","[4, 0.04400192667708459]","[2, 0.4580862020267885]","[2, 0.35043582924571876]","[1, 1.0]","[4, 0.0017965246034672045]","[3, 3.988326266403578e-06]","[3, 0.3137991116579492]","[1, 1.0]","[1, 1.0]","[4, 0.9997066594101808]","[1, 1.0]","[1, 0.10940091219152707]","[3, 0.16296240838042197]","[1, 0.22829781631061838]","[3, 0.0012058922226006283]","[3, 0.056613833041660934]","[1, 1.0]","[100, 100]","[4, 1.6569659560643935e-12]","[4, 0.9997960224625584]","[1, 1.0]","[1, 0.9554351903783019]","[100, 100]","[5, 0.9925160576980093]","[1, 1.0]","[3, 0.0959805258790913]","[5, 0.019939783073537068]","[4, 0.999885073664201]","[1, 0.04819320344335759]","[3, 0.002532982796671785]","[4, 0.0018712954498465554]","[2, 0.10074465115424532]","[3, 0.0063645098778331915]","[2, 0.08632166054409199]","[3, 0.34028339827947657]","[100, 100]"
