,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child gaze:robot or prop,Child affect:positive 2,Child affect:positive 4,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
robot text:try again,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:put down,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
robot text:positive feedback,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Conversational turns:PC,"[2, 0.09781615920811516]","[3, 0.07024450875149978]","[3, 0.17187430105179363]","[4, 1.0418666183186637e-09]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 5.331674343323956e-06]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.004505580293555722]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.018025878584303514]","[3, 0.6423859451634013]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[5, 0.001893301203018236]","[100, 100]","[5, 0.6999858358786242]","[100, 100]","[1, 1.0]","[5, 0.0011748846187201831]","[5, 0.0011748846187201831]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.58922972449552]","[3, 0.1806796213739356]","[3, 2.005116672619335e-10]"
Conversational turns:CP,"[4, 0.005412929508116415]","[3, 0.032513982810444056]","[2, 0.14585625605325356]","[1, 1.0]","[100, 100]","[4, 1.3958500192554721e-14]","[1, 1.0]","[5, 5.68146559452648e-09]","[100, 100]","[100, 100]","[5, 0.3657091018693132]","[5, 0.00011748980455327273]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.2806725282361306]","[5, 1.3250013164058313e-10]","[2, 0.000778009772204146]","[3, 3.0677940439861873e-31]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[4, 9.966605833243675e-06]","[0, 1]","[1, 1.0]","[4, 1.3958500192554464e-14]","[1, 1.0]","[1, 0.07901209810878275]","[1, 1.0]"
Conversational turns:PCP,"[4, 0.06035219041425699]","[1, 0.9919944699080395]","[1, 0.11652635367308292]","[1, 0.961493246524514]","[100, 100]","[4, 3.8123430307404426e-07]","[1, 0.9614932465246915]","[5, 3.2069455692972805e-05]","[100, 100]","[100, 100]","[5, 0.0011981955472864193]","[5, 0.010088632120501106]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.467331686268324]","[5, 0.001237549822626302]","[2, 0.3378110375031981]","[3, 5.59228141102903e-16]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.0034547065197924136]","[100, 100]","[5, 0.5438850366641848]","[100, 100]","[1, 1.0]","[5, 3.2069455692972805e-05]","[5, 3.2055954486817956e-05]","[100, 100]","[100, 100]","[100, 100]","[4, 3.813891209705284e-07]","[1, 0.9900862173195154]","[0, 1]","[4, 9.953165575300342e-06]","[2, 0.999973349839189]","[1, 0.15250277289115327]","[1, 0.9614932465246915]"
Conversational turns:CPC,"[2, 0.014325003589997717]","[1, 0.14089972597742775]","[3, 0.0760959509611421]","[4, 1.7820731847111686e-14]","[100, 100]","[1, 0.9778138804934812]","[1, 0.9614932465241588]","[1, 6.943568287979651e-08]","[100, 100]","[100, 100]","[5, 0.5721671829448385]","[1, 0.0008732154578201519]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.9999768677467435]","[1, 0.9900862173188247]","[3, 0.15132269983607122]","[1, 0.9614932465241588]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[4, 0.07880285240852367]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9843201036492263]","[1, 0.9900862173188247]","[1, 0.9778138804934812]","[0, 1]","[3, 0.46550277235406845]","[3, 0.09073935865863984]","[3, 2.6098121226456365e-15]"
Joint attention:robot,"[2, 0.12309491479295305]","[2, 0.4365512454851016]","[1, 0.5451723967196105]","[1, 0.9850796141973323]","[100, 100]","[1, 0.04903282490465888]","[1, 0.027807415392524702]","[3, 0.4251306420201938]","[100, 100]","[100, 100]","[2, 0.07881303809412252]","[1, 0.22742910805770417]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.02337027045385398]","[5, 0.08123560513531589]","[5, 0.09108526121527435]","[5, 0.0181669236669314]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.434377655800147]","[100, 100]","[3, 0.00958922136972274]","[2, 0.04437789235076284]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[5, 0.700785837296395]","[2, 0.044377892350762144]","[1, 0.1177663661232943]","[5, 0.46059641656207106]","[0, 1]","[1, 0.21638710263144784]","[1, 0.9850796141973323]"
Joint attention:props,"[2, 0.6792850762513625]","[2, 0.39970929653166903]","[5, 0.001892170705811848]","[1, 0.010549563678668186]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.15331043142606612]","[5, 0.06053891875097931]","[100, 100]","[100, 100]","[4, 0.05180850576579364]","[100, 100]","[100, 100]","[1, 0.17054315965393246]","[2, 0.72043254768188]","[5, 0.027869621260055166]","[1, 1.0]","[3, 0.3144800158482148]","[100, 100]","[4, 0.05180850576579364]","[100, 100]","[4, 0.035151970085408414]","[100, 100]","[3, 0.002714096598854385]","[100, 100]","[4, 0.9922891860859102]","[4, 0.003423552035686487]","[5, 0.027935265428750758]","[100, 100]","[100, 100]","[100, 100]","[1, 0.21014935281037975]","[2, 0.8258682082791458]","[1, 0.14668771391086974]","[4, 0.8566665851380046]","[1, 0.32782072627658765]","[0, 1]","[2, 0.5575525811815478]"
Mutual gaze:MG,"[5, 1.9849316418421338e-07]","[1, 0.9860377713593482]","[1, 0.9846378819194491]","[100, 100]","[100, 100]","[1, 0.9613142815685931]","[1, 0.932890251413408]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.9837591151660919]","[1, 0.970043460709779]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.9998424724822357]","[1, 0.9746854660439019]","[1, 0.9860377713593482]","[1, 0.932890251413408]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 6.382348498761598e-08]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[3, 0.9999676651439746]","[1, 1.0]","[1, 0.9613142815685931]","[1, 0.9613142815685931]","[2, 0.9998189151789475]","[1, 0.9860377713593482]","[0, 1]"
