,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
231,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.47999999999983
232,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.67999999999984
233,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.87999999999984
234,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.07999999999984
235,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.27999999999983
236,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.47999999999983
237,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.67999999999984
238,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.87999999999982
239,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.07999999999983
240,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.27999999999983
241,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.47999999999983
242,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.67999999999984
243,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.87999999999982
244,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.07999999999983
245,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.27999999999983
246,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.47999999999982
247,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,68.67999999999982
248,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,68.87999999999982
249,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.07999999999983
250,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.27999999999983
251,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.47999999999982
252,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.67999999999982
253,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.87999999999982
254,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.07999999999981
255,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.27999999999982
256,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.47999999999982
257,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.67999999999982
258,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.87999999999982
259,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,71.07999999999981
260,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,71.27999999999982
261,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,71.47999999999982
262,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,71.67999999999981
263,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,71.87999999999981
264,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,72.07999999999981
265,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,72.27999999999982
266,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,72.47999999999982
267,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,72.67999999999981
268,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,72.87999999999981
269,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,73.07999999999981
270,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73.2799999999998
271,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4799999999998
272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.67999999999981
273,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.87999999999981
274,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.07999999999981
275,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.2799999999998
276,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.4799999999998
277,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.67999999999981
278,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.8799999999998
279,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.0799999999998
280,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.2799999999998
281,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.4799999999998
282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.67999999999981
283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8799999999998
284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0799999999998
285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2799999999998
286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.47999999999979
287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6799999999998
288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.8799999999998
289,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.0799999999998
290,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.2799999999998
291,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.47999999999979
292,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,77.6799999999998
293,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,77.8799999999998
294,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,78.07999999999979
