,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
157,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.26000000000045
158,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.46000000000045
159,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.66000000000045
160,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,86.86000000000045
161,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,87.06000000000046
162,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,87.26000000000046
163,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,87.46000000000046
164,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,87.66000000000047
165,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,87.86000000000047
166,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,88.06000000000047
167,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,88.26000000000047
168,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,88.46000000000048
169,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,88.66000000000048
170,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,88.86000000000048
171,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,89.06000000000049
172,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,89.26000000000049
173,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,89.46000000000049
174,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,89.6600000000005
175,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,89.8600000000005
176,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,90.0600000000005
177,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,90.2600000000005
178,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90.4600000000005
179,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90.66000000000051
180,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90.86000000000051
181,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,91.06000000000051
182,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,91.26000000000052
183,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,91.46000000000052
184,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,91.66000000000052
185,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,91.86000000000053
186,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,92.06000000000053
187,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,92.26000000000053
188,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,92.46000000000053
189,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,92.66000000000054
190,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,92.86000000000054
191,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,93.06000000000054
192,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,93.26000000000055
193,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,93.46000000000055
194,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,93.66000000000055
195,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,93.86000000000055
196,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,94.06000000000056
197,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,94.26000000000056
198,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,94.46000000000056
199,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,94.66000000000057
200,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,94.86000000000057
201,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,95.06000000000057
202,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,95.26000000000057
203,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,95.46000000000058
204,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,95.66000000000058
205,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,95.86000000000058
206,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,96.06000000000058
207,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,96.26000000000059
208,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,96.46000000000059
209,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,96.6600000000006
210,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,96.8600000000006
211,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,97.0600000000006
212,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,97.2600000000006
213,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,97.4600000000006
214,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,97.66000000000061
215,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,97.86000000000061
216,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,98.06000000000061
217,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,98.26000000000062
218,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,98.46000000000062
219,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,98.66000000000062
220,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,98.86000000000062
221,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,99.06000000000063
222,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,99.26000000000063
223,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,99.46000000000063
224,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,99.66000000000064
225,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,99.86000000000064
226,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100.06000000000064
227,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,100.26000000000064
228,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,100.46000000000065
229,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,100.66000000000065
230,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,100.86000000000065
231,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,101.06000000000066
232,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,101.26000000000066
233,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,101.46000000000066
234,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,101.66000000000066
235,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,101.86000000000067
236,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,102.06000000000067
237,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,102.26000000000067
238,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,102.46000000000068
239,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,102.66000000000068
240,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,102.86000000000068
241,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,103.06000000000068
242,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,103.26000000000069
243,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,103.46000000000069
244,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,103.6600000000007
245,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,103.8600000000007
246,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,104.0600000000007
247,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,104.2600000000007
248,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,104.4600000000007
