,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
98,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,82.0
99,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,82.5
100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,83.0
101,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,83.5
102,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,84.0
103,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,84.5
104,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,85.0
105,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,85.5
106,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,86.0
107,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,86.5
108,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,87.0
109,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,87.5
110,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,88.0
111,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,88.5
112,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,89.0
113,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,89.5
114,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,90.0
115,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,90.5
116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,91.0
117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,91.5
118,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,92.0
119,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,92.5
120,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,93.0
121,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,93.5
122,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,94.0
123,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,94.5
124,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95.0
125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,95.5
126,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,96.0
127,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,96.5
128,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,97.0
129,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,97.5
130,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,98.0
131,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,98.5
132,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,99.0
133,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,99.5
134,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,100.0
135,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,100.5
136,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,101.0
137,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101.5
138,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.0
139,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.5
140,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,103.0
141,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,103.5
142,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,104.0
