,col base,action base,col count,action count,hist,bins
256,action,Child gesture,action:sub_action,robot text:positive feedback,[1],[1 2]
257,action,Child gesture,action:sub_action,robot text:put down,[1],[1 2]
258,action,Child gesture,action:sub_action,robot text:song,[],[1]
259,action,Child gesture,action:sub_action,robot text:teach,[],[1]
260,action,Child gesture,action:sub_action,robot text:try again,[1],[1 2]
261,action,Child prop manipulation,action,Child affect,[],[1]
262,action,Child prop manipulation,action,Child gaze,[6 3 1 1],[1 2 3 4 5]
263,action,Child prop manipulation,action,Child gesture,[1],[1 2]
264,action,Child prop manipulation,action,Child utterance,[],[1]
265,action,Child prop manipulation,action,Conversational turns,[],[1]
266,action,Child prop manipulation,action,Joint attention,[4 4 2],[1 2 3 4]
267,action,Child prop manipulation,action,Mutual gaze,[],[1]
268,action,Child prop manipulation,action,Non-verbal scaffolding,[2],[1 2]
269,action,Child prop manipulation,action,Parent affect,[1],[1 2]
270,action,Child prop manipulation,action,Parent affective touch,[],[1]
271,action,Child prop manipulation,action,Parent gaze,[3 4 1 1],[1 2 3 4 5]
272,action,Child prop manipulation,action,Parent gesture,[1],[1 2]
273,action,Child prop manipulation,action,Parent prop manipulation,[1],[1 2]
274,action,Child prop manipulation,action,Parent utterance,[7 1],[1 2 3]
275,action,Child prop manipulation,action,Verbal scaffolding,[3],[1 2]
276,action,Child prop manipulation,action,robot pointing,[1],[1 2]
277,action,Child prop manipulation,action,robot text,[11  1],[1 2 3]
278,action,Child prop manipulation,sub_action,CP,[],[1]
279,action,Child prop manipulation,sub_action,CPC,[],[1]
280,action,Child prop manipulation,sub_action,MG,[],[1]
281,action,Child prop manipulation,sub_action,PC,[],[1]
282,action,Child prop manipulation,sub_action,PCP,[],[1]
283,action,Child prop manipulation,sub_action,affective,[2],[1 2]
284,action,Child prop manipulation,sub_action,affective touch,[],[1]
285,action,Child prop manipulation,sub_action,child,[2 0 1],[1 2 3 4]
286,action,Child prop manipulation,sub_action,cognitive,[2],[1 2]
287,action,Child prop manipulation,sub_action,correction,[2],[1 2]
