,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
183,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,97.66
184,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,98.16
185,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,98.66
186,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,99.16
187,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,99.66
188,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,100.16
189,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,100.66
190,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,101.16
191,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,101.66
192,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,102.16
193,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,102.66
194,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,103.16
195,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,103.66
196,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,104.16
197,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,104.66
198,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,105.16
199,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,105.66
200,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,106.16
201,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,106.66
202,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,107.16
203,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,107.66
204,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,108.16
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,108.66
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,109.16
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,109.66
208,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,110.16
209,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,110.66
210,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,111.16
211,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,111.66
212,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,112.16
213,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,112.66
214,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,113.16
215,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,113.66
216,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,114.16
217,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,114.66
218,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,115.16
219,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,115.66
220,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,116.16
221,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,116.66
222,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,117.16
223,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,117.66
224,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,118.16
225,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,118.66
226,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,119.16
227,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,119.66
228,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,120.16
229,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,120.66
230,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,121.16
231,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,121.66
232,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,122.16
233,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,122.66
234,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,123.16
235,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,123.66
236,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,124.16
237,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,124.66
238,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,125.16
239,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,125.66
240,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,126.16
241,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,126.66
242,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,127.16
243,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,127.66
244,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,128.16
245,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,128.66
246,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,129.16
247,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,129.66
248,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,130.16
249,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,130.66
250,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,131.16
251,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,131.66
252,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,132.16
253,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,132.66
254,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,133.16
255,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,133.66
256,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,134.16
257,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,134.66
258,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,135.16
259,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,135.66
260,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,136.16
261,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,136.66
262,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,137.16
263,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,137.66
264,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,138.16
265,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,138.66
266,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,139.16
267,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,139.66
268,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,140.16
269,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,140.66
270,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,141.16
271,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,141.66
272,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,142.16
273,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,142.66
274,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,143.16
275,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,143.66
