,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
182,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,247.4
183,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,247.9
184,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,248.4
185,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,248.9
186,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,249.4
187,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,249.9
188,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,250.4
189,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,250.9
190,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,251.4
191,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,251.9
192,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,252.4
193,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,252.9
194,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,253.4
195,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,253.9
196,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,254.4
197,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,254.9
198,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,255.4
199,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,255.9
200,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,256.4
201,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,256.9
202,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,257.4
203,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,257.9
204,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,258.4
205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,258.9
206,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,259.4
207,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,259.9
208,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,260.4
209,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,260.9
210,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,261.4
211,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,261.9
212,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,262.4
213,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,262.9
214,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,263.4
215,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,263.9
216,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,264.4
217,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,264.9
218,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,265.4
219,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,265.9
220,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,266.4
221,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,266.9
222,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,267.4
