,col base,action base,col count,action count,hist,bins
232,action,Child prop manipulation,sub_action,missing data,[1],[1 2]
233,action,Child prop manipulation,sub_action,other,[2],[1 2]
234,action,Child prop manipulation,sub_action,parent,[3 1],[1 2 3]
235,action,Child prop manipulation,sub_action,pick up,[1],[1 2]
236,action,Child prop manipulation,sub_action,point at prop,[1 3],[1 2 3]
237,action,Child prop manipulation,sub_action,positive 1,[1],[1 2]
238,action,Child prop manipulation,sub_action,positive 2,[],[1]
239,action,Child prop manipulation,sub_action,positive feedback,[2],[1 2]
240,action,Child prop manipulation,sub_action,put down,[4],[1 2]
241,action,Child prop manipulation,sub_action,song,[],[1]
242,action,Child prop manipulation,sub_action,tablet,[0 4],[1 2 3]
243,action,Child prop manipulation,sub_action,teach,[3],[1 2]
244,action,Child prop manipulation,sub_action,technical,[1],[1 2]
245,action,Child prop manipulation,sub_action,try again,[1],[1 2]
246,action,Child prop manipulation,sub_action,utterance,[10  2],[1 2 3]
247,action,Child prop manipulation,action:sub_action,Child affect:positive 1,[1],[1 2]
248,action,Child prop manipulation,action:sub_action,Child affect:positive 2,[],[1]
249,action,Child prop manipulation,action:sub_action,Child gaze:parent,[2],[1 2]
250,action,Child prop manipulation,action:sub_action,Child gaze:tablet,[1],[1 2]
251,action,Child prop manipulation,action:sub_action,Child gesture:other,[1],[1 2]
252,action,Child prop manipulation,action:sub_action,Child gesture:point at prop,[2],[1 2]
253,action,Child prop manipulation,action:sub_action,Child prop manipulation:child,[5 1],[1 2 3]
254,action,Child prop manipulation,action:sub_action,Child utterance:utterance,[3],[1 2]
255,action,Child prop manipulation,action:sub_action,Conversational turns:CP,[2],[1 2]
256,action,Child prop manipulation,action:sub_action,Conversational turns:CPC,[1],[1 2]
257,action,Child prop manipulation,action:sub_action,Conversational turns:PC,[2],[1 2]
258,action,Child prop manipulation,action:sub_action,Conversational turns:PCP,[2],[1 2]
259,action,Child prop manipulation,action:sub_action,Joint attention:tablet,[4],[1 2]
260,action,Child prop manipulation,action:sub_action,Non-verbal scaffolding:cognitive,[4],[1 2]
261,action,Child prop manipulation,action:sub_action,Non-verbal scaffolding:technical,[1],[1 2]
262,action,Child prop manipulation,action:sub_action,Parent gaze:tablet,[3],[1 2]
263,action,Child prop manipulation,action:sub_action,Parent gesture:missing data,[],[1]
264,action,Child prop manipulation,action:sub_action,Parent gesture:other,[1],[1 2]
265,action,Child prop manipulation,action:sub_action,Parent gesture:point at prop,[2],[1 2]
266,action,Child prop manipulation,action:sub_action,Parent prop manipulation:parent,[3],[1 2]
267,action,Child prop manipulation,action:sub_action,Parent utterance:missing data,[1],[1 2]
268,action,Child prop manipulation,action:sub_action,Parent utterance:utterance,[9 1],[1 2 3]
269,action,Child prop manipulation,action:sub_action,Verbal scaffolding:affective,[1 1],[1 2 3]
270,action,Child prop manipulation,action:sub_action,Verbal scaffolding:cognitive,[5],[1 2]
271,action,Child prop manipulation,action:sub_action,robot pointing:point at prop,[3],[1 2]
272,action,Child prop manipulation,action:sub_action,robot text:correction,[2],[1 2]
273,action,Child prop manipulation,action:sub_action,robot text:other,[],[1]
274,action,Child prop manipulation,action:sub_action,robot text:pick up,[1],[1 2]
275,action,Child prop manipulation,action:sub_action,robot text:positive feedback,[2],[1 2]
276,action,Child prop manipulation,action:sub_action,robot text:put down,[4],[1 2]
277,action,Child prop manipulation,action:sub_action,robot text:song,[],[1]
278,action,Child prop manipulation,action:sub_action,robot text:teach,[3],[1 2]
279,action,Child prop manipulation,action:sub_action,robot text:try again,[1],[1 2]
280,action,Child utterance,action,Child affect,[],[1]
281,action,Child utterance,action,Child gaze,[2],[1 2]
282,action,Child utterance,action,Child gesture,[],[1]
283,action,Child utterance,action,Child prop manipulation,[1],[1 2]
284,action,Child utterance,action,Conversational turns,[0 0 0 1],[1 2 3 4 5]
285,action,Child utterance,action,Joint attention,[],[1]
286,action,Child utterance,action,Non-verbal scaffolding,[1],[1 2]
287,action,Child utterance,action,Parent gaze,[],[1]
288,action,Child utterance,action,Parent gesture,[1 1],[1 2 3]
289,action,Child utterance,action,Parent prop manipulation,[],[1]
290,action,Child utterance,action,Parent utterance,[3 1],[1 2 3]
291,action,Child utterance,action,Verbal scaffolding,[3],[1 2]
292,action,Child utterance,action,robot pointing,[],[1]
293,action,Child utterance,action,robot text,[4],[1 2]
294,action,Child utterance,sub_action,CP,[1],[1 2]
295,action,Child utterance,sub_action,CPC,[],[1]
296,action,Child utterance,sub_action,PC,[0 1],[1 2 3]
297,action,Child utterance,sub_action,PCP,[1],[1 2]
298,action,Child utterance,sub_action,affective,[],[1]
299,action,Child utterance,sub_action,child,[1],[1 2]
300,action,Child utterance,sub_action,cognitive,[4],[1 2]
301,action,Child utterance,sub_action,correction,[],[1]
302,action,Child utterance,sub_action,missing data,[0 1],[1 2 3]
303,action,Child utterance,sub_action,other,[2],[1 2]
304,action,Child utterance,sub_action,parent,[1],[1 2]
305,action,Child utterance,sub_action,pick up,[],[1]
306,action,Child utterance,sub_action,point at prop,[1],[1 2]
307,action,Child utterance,sub_action,positive 1,[],[1]
308,action,Child utterance,sub_action,positive 2,[],[1]
309,action,Child utterance,sub_action,positive feedback,[1],[1 2]
310,action,Child utterance,sub_action,put down,[],[1]
311,action,Child utterance,sub_action,song,[],[1]
312,action,Child utterance,sub_action,tablet,[1],[1 2]
313,action,Child utterance,sub_action,teach,[],[1]
314,action,Child utterance,sub_action,technical,[],[1]
315,action,Child utterance,sub_action,try again,[2],[1 2]
316,action,Child utterance,sub_action,utterance,[1 1 1],[1 2 3 4]
317,action,Child utterance,action:sub_action,Child affect:positive 1,[],[1]
318,action,Child utterance,action:sub_action,Child affect:positive 2,[],[1]
319,action,Child utterance,action:sub_action,Child gaze:parent,[1],[1 2]
320,action,Child utterance,action:sub_action,Child gaze:tablet,[1],[1 2]
321,action,Child utterance,action:sub_action,Child gesture:other,[],[1]
322,action,Child utterance,action:sub_action,Child gesture:point at prop,[],[1]
323,action,Child utterance,action:sub_action,Child prop manipulation:child,[1],[1 2]
324,action,Child utterance,action:sub_action,Child utterance:utterance,[2],[1 2]
325,action,Child utterance,action:sub_action,Conversational turns:CP,[1],[1 2]
326,action,Child utterance,action:sub_action,Conversational turns:CPC,[],[1]
327,action,Child utterance,action:sub_action,Conversational turns:PC,[0 1],[1 2 3]
328,action,Child utterance,action:sub_action,Conversational turns:PCP,[1],[1 2]
329,action,Child utterance,action:sub_action,Joint attention:tablet,[],[1]
330,action,Child utterance,action:sub_action,Non-verbal scaffolding:cognitive,[1],[1 2]
331,action,Child utterance,action:sub_action,Non-verbal scaffolding:technical,[],[1]
332,action,Child utterance,action:sub_action,Parent gaze:tablet,[],[1]
333,action,Child utterance,action:sub_action,Parent gesture:missing data,[1],[1 2]
334,action,Child utterance,action:sub_action,Parent gesture:other,[1],[1 2]
335,action,Child utterance,action:sub_action,Parent gesture:point at prop,[1],[1 2]
